time,u2_mean,trend,total,rate_slr
1890,1.2077655852574114,-13.517076512690045,-12.309310927432634,
1891,2.510381965391092,-13.373662116958945,-10.863280151567853,1.4339347845501038
1892,0.5761016425376537,-13.230289555780024,-12.654187913242371,1.4334376063965237
1893,2.79171742023124,-13.08697459567964,-10.2952571754484,1.434255928692565
1894,1.5475238508568514,-12.94343837004151,-11.39591451918466,1.4385703142996586
1895,1.8114125472200304,-12.799260532819709,-10.987847985599679,1.4486496529956927
1896,3.200229026300629,-12.653708439442372,-9.453479413141743,1.466509224573187
1897,2.576060747638585,-12.505958687905071,-9.929897940266486,1.491191382911854
1898,6.10674740634491,-12.355470162860001,-6.248722756515091,1.5205827060260457
1899,3.84900821491004,-12.201842146699862,-8.352833931789823,1.553999376761599
1900,3.040199944807362,-12.044670287507682,-9.00447034270032,1.5913878687525251
1901,1.7365347374416298,-11.883564572949357,-10.147029835507727,1.6314041393645873
1902,2.287646831839634,-11.718389459634764,-9.43074262779513,1.6717567571764835
1903,5.980173168172417,-11.54921322151406,-5.569040053341643,1.710420237500676
1904,2.263631548839415,-11.376305412134629,-9.112673863295214,1.7454708545648767
1905,3.4830592259119193,-11.200119050601085,-7.717059824689166,1.7761194865170626
1906,4.30900610632071,-11.021081514831216,-6.712075408510507,1.8026656547404407
1907,4.1840111321112285,-10.839585919652997,-6.655574787541768,1.824409380134595
1908,2.795630651332813,-10.656199638804297,-7.860568987471485,1.839225558789428
1909,3.17892287472997,-10.471740807895111,-7.292817933165141,1.8459718574627004
1910,3.14267630229554,-10.287005267311757,-7.144328965016218,1.8451283731307289
1911,3.6434212830009716,-10.102715133268966,-6.4592938502679935,1.8376753455506556
1912,4.859869852618428,-9.919470198201626,-5.059600345583198,1.8254846753677612
1913,3.4229705010163225,-9.737618198195413,-6.31464769717909,1.8108927560435717
1914,3.029317309657701,-9.557291646992912,-6.527974337335211,1.7974732346064126
1915,6.196246789115215,-9.37812355127413,-3.1818767621589155,1.7881228723984854
1916,8.451838670628803,-9.199667072513215,-0.7478284018844121,1.7831512205825994
1917,4.1786576073194945,-9.02149330715761,-4.842835699838116,1.7822701170758393
1918,3.6605335330456303,-8.843213049098047,-5.182679516052417,1.7844932386955215
1919,2.853654353256156,-8.664594659418507,-5.810940306162351,1.7885787416444465
1920,2.286869412024233,-8.485497300769158,-6.198627888744925,1.7927442366875734
1921,5.19074716542356,-8.306045812080992,-3.1152986466574317,1.7951132922805169
1922,2.6148254429820055,-8.126474642313054,-5.511649199331049,1.7945191016329343
1923,6.22320848429088,-7.947141991754405,-1.7239335074635251,1.7900499207225895
1924,1.9709544293889516,-7.768464658168536,-5.7975102287795846,1.78119593639388
1925,5.42239742456878,-7.590902804475629,-2.1685053799068488,1.7677133718527882
1926,3.0217685443485895,-7.414921983797979,-4.393153439449389,1.750686808070463
1927,4.2253421668919575,-7.2407654428615364,-3.015423275969579,1.7320046410606293
1928,4.2570793787947,-7.068521055585853,-2.811441676791153,1.7129274932865535
1929,2.503715911070643,-6.898179944204226,-4.394464033133582,1.6943330397633094
1930,3.014145581108055,-6.729654447633191,-3.715508866525136,1.6767245908725092
1931,3.9823907738716557,-6.562835026029724,-2.580444252158068,1.6603227216061844
1932,3.994107714985289,-6.397589903311954,-2.4034821883266653,1.6456600133901222
1933,-0.006305355675069698,-6.2337030233516995,-6.2400083790267695,1.6336627456425123
1934,4.925440303401146,-6.070857354183452,-1.1454170507823056,1.623734053010839
1935,5.669906556596237,-5.908956212749532,-0.23904965615329488,1.613016794997404
1936,4.017694141768123,-5.748253995183971,-1.7305598534158477,1.6000559820555482
1937,2.0822153786213358,-5.588945016338422,-3.5067296377170862,1.5860210583182033
1938,7.3191629447432405,-5.43104978352033,1.8881131612229103,1.5722370329340096
1939,1.6273697124176145,-5.27449760975162,-3.6471278973340056,1.5600168191992614
1940,3.5660044590421074,-5.119046419680478,-1.5530419606383705,1.5502518563170486
1941,2.0705179113173307,-4.96444723848821,-2.8939293271708797,1.5427017589048342
1942,2.1361370211544712,-4.810506067899511,-2.67436904674504,1.5367868439676835
1943,7.039780558614619,-4.657089869694674,2.3826906889199453,1.5312364603015594
1944,7.235420353027519,-4.504258775839199,2.7311615771883195,1.5248277934504273
1945,5.213116060125863,-4.352124311004588,0.8609917491212746,1.5171744623447747
1946,3.320629126559119,-4.200823883370244,-0.8801947568111252,1.5081731848739333
1947,-1.8154923153555105,-4.0504896740298015,-5.865981989385312,1.4982527528498846
1948,3.5234875377951442,-3.9011733328002673,-0.3776857950051231,1.487984307673802
1949,6.32306478527157,-3.752892812495041,2.570171972776529,1.4776560111635995
1950,5.810223806399443,-3.6056421305675475,2.2045816758318955,1.4674798881519835
1951,3.0314513624974584,-3.4593968348646444,-0.42794547236718605,1.4579163532034745
1952,4.4521255143686425,-3.3140588599268526,1.13806665444179,1.449545732334312
1953,4.030996668014294,-3.169487688397782,0.8615089796165116,1.4425052992943987
1954,9.21878659262456,-3.025557800067973,6.193228792556588,1.436618699787966
1955,4.04468306451617,-2.882163948440189,1.1625191160759814,1.430930182318897
1956,2.6273915718545315,-2.7393717636041934,-0.1119801917496619,1.4238090384614566
1957,4.346860580705677,-2.5974021407478975,1.7494584399577793,1.4142509422139415
1958,3.292228795860786,-2.456521575161405,0.8357072206993807,1.4018106349553272
1959,1.049031724984578,-2.317040013756832,-1.2680082887722541,1.386480782022388
1960,1.2807967464281198,-2.1792254187569275,-0.8984286723288077,1.3687881325273787
1961,6.270154831546276,-2.0432823872513564,4.226872444294919,1.3501626339787398
1962,6.143243969821787,-1.9091928919611796,4.234051077860608,1.3335563731157696
1963,1.574930438486809,-1.7765711126282024,-0.20164067414139342,1.3204937420209184
1964,1.601490697908348,-1.645094143556996,-0.04360344564864782,1.3096289902684877
1965,4.695678025984401,-1.514645314574505,3.1810327114098964,1.3000881293382616
1966,5.557002570645151,-1.3850765176893436,4.171926052955808,1.2927818096675392
1967,10.078122185154365,-1.256088952640997,8.822033232513368,1.2890379710094002
1968,2.7405468190022044,-1.1272689234874635,1.6132778955147409,1.2909280237578058
1969,1.4794599915942523,-0.9979033478894359,0.48155664370481643,1.300483687383639
1970,5.829890295066554,-0.8671721860107358,4.962718109055818,1.3191861526866888
1971,2.153709855655863,-0.7340661173520981,1.419643738303765,1.3480566518470916
1972,1.6683613835390276,-0.5975608556413174,1.0708005278977102,1.3862461448968944
1973,6.692156980545777,-0.4568168883727193,6.2353400921730575,1.4322594053789395
1974,8.907831419141367,-0.31110897456552955,8.596722444575837,1.483720293530979
1975,3.8979658343485424,-0.16007282966652348,3.737893004682019,1.5379219565087878
1976,2.008175183247126,-0.003524583263771988,2.004650599983354,1.5926445138589207
1977,5.129328475281429,0.15845607310526066,5.28778454838669,1.645812349936184
1978,6.014704500249786,0.32563788672346483,6.3403423869732505,1.6958114219890819
1979,4.45330099076136,0.49761835750307704,4.950919348264437,1.7412740361176748
1980,4.683800097952428,0.6738926939469998,5.357692791899428,1.7822645403902015
1981,6.727253067086563,0.8540712655811173,7.5813243326676805,1.81990390443449
1982,4.418585565642576,1.0378734748338978,5.4564590404764735,1.8565142175653193
1983,9.953056870297772,1.2253741090941812,11.178430979391953,1.8956054911060793
1984,4.465821453999182,1.4169945730551137,5.882816027054296,1.9391550490900178
1985,5.267052294428041,1.6132051189121848,6.8802574133402254,1.9876078817712395
1986,3.908688253616881,1.8145161494093616,5.723204403026243,2.040834001074341
1987,2.5442608310095887,2.021371919127053,4.565632750136642,2.09799520931758
1988,8.584331590285265,2.2341151912728776,10.818446781558142,2.1587710607772825
1989,5.612126371508235,2.4531261312825094,8.065252502790745,2.2237676140987706
1990,9.746004212096263,2.6788687140926317,12.424872926188895,2.293192922996896
1991,3.152354171297571,2.9117647158818887,6.064118887179459,2.3662481239378064
1992,6.23123860628784,3.152118338880193,9.383356945168032,2.4413844211212665
1993,5.781231173677536,3.400041600106142,9.181272773783679,2.515112310893799
1994,7.768478762039966,3.655140801058953,11.423619563098919,2.5844252783606003
1995,4.918948577918521,3.916926655778262,8.835875233696783,2.6487506091638258
1996,-0.9377852281773099,4.184890922891718,3.247105694714408,2.707754987427613
1997,3.484785137701341,4.458477653263785,7.943262790965125,2.760198400420011
1998,7.993261048887605,4.73693060297572,12.730191651863326,2.8048071801081864
1999,6.6060803913725445,5.019439089285422,11.625519480657967,2.841406179930175
2000,6.905151117711987,5.305211838961755,12.210362956673741,2.87029756596199
2001,3.853649672284919,5.59349860247782,9.447148274762739,2.8929671821911507
2002,3.7229053752861234,5.883805275399985,9.606710650686109,2.9114403429335
2003,1.45374135102286,6.17578667106452,7.62952802208738,2.9280393389835657
2004,5.256919619236607,6.469413143196698,11.726332762433305,2.945251572477927
2005,4.415485887550815,6.764836985560105,11.18032287311092,2.9642049646119606
2006,4.750261044491205,7.0622541361190905,11.812515180610294,2.9852584738149
2007,7.258351943848344,7.361888680323085,14.62024062417143,3.008461551040247
2008,5.707525275327946,7.66394644632714,13.371471721655086,3.0336313890042588
2009,3.8154614752926186,7.968614958123937,11.784076433416555,3.0604172917935024
2010,1.2669907629750823,8.27602990468584,9.543020667660922,3.088269231191272
2011,6.535188728234438,8.586268804362192,15.12145753259663,3.116172870258067
2012,4.5815953478089355,8.899264478737454,13.48085982654639,3.142470613125141
2013,1.0645695857019624,9.21476292698722,10.279332512689182,3.1659134194430916
2014,3.2130910945582265,9.532447162626072,12.745538257184299,3.1857797047645153
2015,8.273610968061496,9.851918867940123,18.12552983600162,3.2017407197196768
2016,3.125891576984184,10.172795306570007,13.298686883554192,3.2141054879515263
2017,7.365212038820308,10.494739965530428,17.85995200435074,3.2232443012968925
2018,1.890902644414031,10.817444166829386,12.708346811243416,3.229576163814878
2019,4.761914769783849,11.140655198293404,15.902569968077252,3.233526935690545
2020,6.959403059556069,11.464149553967495,18.423552613523565,3.2355674614451324
2021,3.1976203913294006,11.78776869058243,14.98538908191183,
